a52dec 0.8.0-2
mpv 1:0.37.0-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
muffin 6.0.0-1
mujs 1.3.4-1
mypaint-brushes1 1.3.1-1
nbd 3.25-1
ncurses 6.4_20230520-1
nemo 6.0.1-1
nemo-fileroller 6.0.1-1
nemo-preview 6.0.1-1
nemo-seahorse 6.0.1-1
nemo-share 6.0.1-1
neon 0.32.5-2
neovim 0.9.5-1
net-snmp 5.9.1-8
net-tools 2.10-2
nethogs 0.8.7-1
nettle 3.9.1-1
network-manager-applet 1.34.0-1
networkmanager 1.44.2-3
networkmanager-runit 20180226-3
nfs-utils 2.6.4-1
nfs-utils-runit 20200613-2
nfsidmap 2.6.4-1
ninja 1.11.1-3
nload 0.7.4-7
nm-connection-editor 1.34.0-1
nodejs 21.5.0-1
noto-fonts-emoji 1:2.042-1
npth 1.6-4
nspr 4.35-2
nss 3.96.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p17-1
ntp-runit 20210301-3
numix-circle-icon-theme-git 23.08.09.r0.g78b6336-1
numix-icon-theme-git 23.04.26.r0.g71b89af4f-1
nvidia-dkms 545.29.06-1
nvidia-prime 1.0-4
nvidia-settings 545.29.06-1
nvidia-utils 545.29.06-1
ocl-icd 2.3.2-1
onevpl 2023.4.0-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.6-1
openpmix 4.2.6-1
openrazer-daemon 3.7.0-1
openrazer-driver-dkms 3.7.0-1
openssh 9.6p1-1
openssh-runit 20180429-4
openssl 3.2.0-1
openssl-1.1 1.1.1.w-1
openvpn 2.6.8-1
opus 1.4-1
orc 0.4.34-1
os-prober 1.81-1
p11-kit 0.25.3-1
p7zip 1:17.05-2
pacman 6.0.2-8
pacman-static 6.0.2-2
pahole 1:1.25-4
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.3-1
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.1-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
pinentry 1.2.1-3
pipewire 1:1.0.0-2.1
pipewire-audio 1:1.0.0-2.1
pipewire-pulse 1:1.0.0-2.1
pipewire-session-manager 1:1.0.0-2.1
pixman 0.42.2-1
pkcs11-helper 1.30.0-1
pkgconf 2.1.0-2
polkit 123-1
polkit-gnome 0.105-10
polkit-qt5 0.175.0-1
poppler 24.01.0-1
poppler-data 0.4.12-1
poppler-glib 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powertop 2.15-1
ppp 2.5.0-3
procps-ng 4.0.4-2
protobuf 25.1-1
psmisc 23.6-1
pulseaudio-alsa 1:1.2.7.1-2
python 3.11.6-1
python-annotated-types 0.6.0-1
python-atspi 2.46.0-2
python-attrs 23.1.0-1
python-autocommand 2.2.2-4
python-beautifulsoup4 4.12.2-1
python-cairo 1.25.1-1
python-certifi 2023.11.17-1
python-cffi 1.16.0-1
python-chardet 5.2.0-1
python-charset-normalizer 3.3.2-1
python-cryptography 41.0.7-1
python-daemonize 2.5.0-6
python-distro 1.8.0-3
python-evdev 1.6.1-2
python-fastjsonschema 2.19.1-1
python-filelock 3.13.1-1
python-gobject 3.46.0-1
python-idna 3.5-1
python-inflect 7.0.0-2
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.12.0-1
python-lxml 4.9.2-3
python-moddb 0.10.0-1
python-more-itertools 10.1.0-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
